Name,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Cornell,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Franklin & Marshall,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,Ind,PIFA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Washington (STL),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC
Indiana,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,IIAA,IIAA,IIAA,IIAA,IIAA,Ind,Ind,Ind,Ind,Ind,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10
Purdue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,IIAA,IIAA,IIAA,IIAA,IIAA,Ind,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10
Notre Dame,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,IIC,IIC,Ind
Virginia,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,None,None,SAIAA,SAIAA,SAIAA,SoCon,SoCon,SoCon,SoCon
WPI,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None
Miami,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC
Duke,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,SAIAA,Ind,Ind,Ind,Ind
Wake Forest,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,Ind,Ind,Ind,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
North Carolina,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,SIAA,SIAA,SIAA,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,None,None,SAIAA,SAIAA,SAIAA,SoCon,SoCon,SoCon,SoCon
St John's,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SAIAA,None,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,None,None,None,None,None
USC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,PAC-12,PAC-12,PAC-12,PAC-12
Dickinson,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,PIFA,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Grinnell,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,MVC,MVC,MVC,MVC,MVC,MVC,MVC
South Dakota,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,Ind,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,NCC,NCC,NCC,NCC
South Dakota State,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,Ind,None,None,None,None,Ind,Ind,NCC,NCC,NCC,NCC
Iowa,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,WIUFA,WIUFA,WIUFA,WIUFA,WIUFA,WIUFA,Ind,Ind,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,MVC/BIG 10,MVC/BIG 10,MVC/BIG 10,MVC/BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10
Wisconsin,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,IAAN,IAAN,Ind,Ind,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10
Delaware,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Wesley,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Furman,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,None,None,None,Ind,Ind,SIAA,None,None,None,None,None,None,None,None,None,None,Ind,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA
Washington,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,NWIAA,Ind,Ind,Ind,Ind,Ind,NWC,NWC,NWC,None,NWC,NWC,NWC,NWC,NWC/PAC-12,NWC/PAC-12,PAC-12,PAC-12,PAC-12,PAC-12,NWC/PAC-12,NWC/PAC-12,NWC/PAC-12,NWC/PAC-12
Colorado Mines,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,None,CIAC,CIAC,CIAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC
Colorado,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CIAC,Ind,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,Ind,CIAC,CIAC,CIAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC
Bowdoin,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NEIFA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Washington & Jefferson,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Syracuse,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Springfield,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind
Pittsburgh,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Colgate,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Army,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Geneva,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,TSC,TSC
Nebraska,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,WIUFA,WIUFA,WIUFA,WIUFA,WIUFA,WIUFA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,Ind,Ind,MVC,MVC,MVC,MVC,MVC
Missouri,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,WIUFA,WIUFA,WIUFA,WIUFA,WIUFA,WIUFA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,None,MVC,MVC,MVC,MVC,MVC,MVC,MVC
Baker,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,KCAC,KCAC,KCAC,KCAC,KCAC,KCAC,KCAC,KCAC,KCAC,KCAC,KCAC,KCAC,KCAC
Illinois,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10
Kansas,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,WIUFA,WIUFA,WIUFA,WIUFA,WIUFA,WIUFA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC
Ohio Wesleyan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC
Ohio State,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC/BIG 10,OAC/BIG 10,OAC/BIG 10,OAC/BIG 10,OAC/BIG 10,OAC/BIG 10,OAC/BIG 10,OAC/BIG 10,OAC/BIG 10,BIG 10,BIG 10,BIG 10,BIG 10
Doane,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,NCAC,NCAC,NCAC,NCAC,NCAC,NCAC,NCAC
Washburn,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,KCAC,None,None,None,None,None,KCAC,KCAC,KCAC,KCAC,KCAC,None,KCAC,KCAC,KCAC,KCAC,KCAC,KCAC,KCAC
Case Western Reserve,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,Ind,None,None,None,Ind,Ind,None,None,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC
Vanderbilt,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SoCon/SIAA,SoCon/SIAA,SoCon/SIAA,SoCon
Nashville,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,SIAA,SIAA,SIAA,SIAA,SIAA,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Case Tech,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,Ind,None,None,None,None,None,None,Ind,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC
Akron,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,None,None,Ind,Ind,None,Ind,Ind,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC
Eastern Michigan,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,MIAA,Ind,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA
Sewanee,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,None,SIAA,SIAA,SIAA,SIAA,SIAA,SoCon/SIAA,SoCon
Central,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,None,Ind,SIAA,SIAA,Ind,SIAA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Tennessee,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,SIAA,SIAA,None,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,Ind,Ind,SIAA,SIAA,SIAA,SoCon,SoCon,SoCon,SoCon
West Virginia,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,WVAC
Stanford,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,PAC-12,PAC-12,PAC-12,PAC-12,PAC-12,PAC-12,PAC-12
Colorado State,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CIAC,CIAC,CIAC,None,None,None,None,CIAC,CIAC,CIAC,CIAC,CIAC,CIAC,None,CIAC,CIAC,CIAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC
Drexel,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Oberlin,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,None,None,None,None,None,None,None,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC
Iowa State,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC,MVC
Chicago,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10
Hillsdale,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,None,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA
Heidelberg,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,OAC,OAC,OAC,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,OAC,OAC,OAC,OAC,OAC,OAC
Marquette,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Wittenberg,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC
Loyola Chicago,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind
Kalamazoo,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,None,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,None,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA
Johnson C. Smith,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None
NC State,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SoCon,SoCon,SoCon,SoCon
Alabama,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,SIAA,SIAA,SIAA,None,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,None,SIAA,SIAA,SIAA,SoCon,SoCon,SoCon,SoCon
Auburn,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SoCon,SoCon,SoCon,SoCon
Georgia,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,SIAA,None,None,SIAA,SIAA,SIAA,SoCon,SoCon,SoCon,SoCon
Virginia Tech,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SoCon,SoCon,SoCon,SoCon
McDaniel,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
