Name,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Wesleyan,None,None,None,None,None,None,Ind,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,NEIFA,NEIFA,NEIFA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,None,None,Ind,None,None,None,None,None,None,None,None,None,None
Bates,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Penn,None,None,None,None,None,None,None,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Northwestern,None,None,None,None,None,None,None,Ind,None,None,None,None,None,Ind,None,None,None,Ind,None,Ind,Ind,Ind,Ind,IAAN,IAAN,Ind,Ind,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,None,None,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10
Amherst,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEFIA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Brown,None,None,None,None,None,None,None,None,None,Ind,None,Ind,None,None,None,None,None,None,None,None,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Swarthmore,None,None,None,None,None,None,None,None,None,Ind,Ind,None,None,None,None,None,None,Ind,None,Ind,None,None,PIFA,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,None,None,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,None
Massachusetts,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NELC,NELC,NELC
Michigan,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,IAAN,IAAN,Ind,Ind,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10
Haverford,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,PIFA,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
